분류,명칭,주소,행정 시,행정 구,행정 동,X,Y
문화재유산|문화재구분|조형물,사복(司僕)시 터,서울특별시 종로구 수송동 146번지,서울특별시,종로구,종로1.2.3.4가동,126.9790119,37.5739157
문화재유산|문화재구분|조형물,사섬시터(司贍寺址),서울특별시 종로구 명륜3가 147-1,서울특별시,종로구,혜화동,126.9977942,37.5834472
문화재유산|문화재구분|조형물,사역원(司驛院) 터,서울특별시 종로구 도렴동 88번지,서울특별시,종로구,사직동,126.970072,37.574891
문화재유산|문화재구분|조형물,사온서터(司？署址),서울특별시 종로구 적선동 175번지,서울특별시,종로구,사직동,126.9743068,37.5746556
문화재유산|문화재구분|사직,사직단,사직동 1-28,서울특별시,종로구,사직동,126.9672703,37.5759436
문화재유산|문화재구분|조형물,사포서터(司圃署址),서울특별시 종로구 수송동 104번지,서울특별시,종로구,종로1.2.3.4가동,126.9798861,37.574137
문화재유산|문화재구분|조형물,사헌부(司憲府) 터,서울특별시 종로구 세종로 80-1번지,서울특별시,종로구,사직동,126.9759138,37.5733807
문화재유산|문화재구분|종교문화재,삼십분공덕소경,서울특별시 종로구 창신동 130-3,서울특별시,종로구,창신1동,127.013769,37.5755637
문화재유산|문화재구분|조형물,상춘원(常春園) 터,서울특별시 종로구 창신동 195-3번지,서울특별시,종로구,창신1동,127.0124949,37.5733026
문화재유산|문화재구분|건축,새문안교회,서울특별시 종로구 신문로1가 42번지,서울특별시,종로구,사직동,126.9734104,37.5706533
문화재유산|문화재구분|조형물,서북학회터(西北學會址),서울특별시 종로구 경운동 47-17,서울특별시,종로구,종로1.2.3.4가동,126.9870345,37.5739678
문화재유산|문화재구분|조형물,서십자각터(西十字閣址),서울특별시 종로구 세종로동 1-57번지,서울특별시,종로구,이화동,126.979642,37.573033
문화재유산|문화재구분|집터,서울 경모궁지(景慕宮址),서울특별시 종로구 연건동 28-2,서울특별시,종로구,이화동,127.0006005,37.5805685
문화재유산|문화재구분|가옥,서울 계동 근대 한옥,서울특별시 종로구 계동 105,서울특별시,종로구,가회동,126.9864295,37.5790692
문화재유산|문화재구분|조형물,서울 고종 어극 40년 칭경기념비,서울특별시 종로구 세종로 142-3,서울특별시,종로구,사직동,126.9775912,37.5705151
문화재유산|문화재구분|조형물,서울 관상감 관천대,서울 종로구 원서동 206,서울특별시,종로구,가회동,126.9880143,37.5780886
문화재유산|문화재구분|가옥,서울 누하동 이상범 가옥과 화실,서울특별시 종로구 누하동 178181,서울특별시,종로구,청운효자동,126.9684084,37.5788517
문화재유산,서울 동관왕묘,서울특별시 종로구 숭인동 238-1,서울특별시,종로구,숭인2동,127.0183336,37.57298
문화재유산|문화재구분|동묘,서울 동묘,서울특별시 종로구 숭인동 238-1번지,서울특별시,종로구,숭인2동,127.0183336,37.57298
문화재유산|문화재구분|가옥,서울 명륜동 장면 가옥,서울특별시 종로구 명륜동 36-1,서울특별시,종로구,종로1.2.3.4가동,126.979642,37.573033
문화재유산|문화재구분|문묘,서울 문묘와 성균관,서울특별시 종로구 명륜동3가 53,서울특별시,종로구,삼청동,126.9957415,37.5858106
문화재유산,서울 백악산 일원,서울 종로구 청운동 산2-27,서울특별시,종로구,청운효자동,126.965862,37.584838
문화재유산,서울 부암동 백석동천,서울 종로구 부암동 115,서울특별시,종로구,부암동,126.9663345,37.6004294
문화재유산|문화재구분|종교문화재,서울 북한산 구기동 마애여래좌상(서울 北漢山 舊基洞 磨崖如來坐像),종로구 구기동 산 2-1,서울특별시,종로구,평창동,126.9594761,37.6269949
문화재유산|문화재구분|종교문화재,서울 승가사 석조승가대사좌상(僧伽寺石造僧伽大師坐像),종로구 구기동 산 2-1,서울특별시,종로구,평창동,126.9594761,37.6269949
문화재유산|문화재구분|관청,서울 우정총국,서울특별시 종로구 견지동 39-7,서울특별시,종로구,종로1.2.3.4가동,126.9826182,37.5744559
문화재유산|문화재구분|궁궐,서울 운현궁,서울특별시 종로구 운니동 114-10,서울특별시,종로구,종로1.2.3.4가동,126.9871246,37.5761263
문화재유산|문화재구분|조형물,서울 원각사지 대원각사비,서울특별시 종로구 종로2가 38-3 탑골,서울특별시,종로구,종로1.2.3.4가동,126.9886344,37.5710789
문화재유산|문화재구분|조형물,서울 원각사지 십층석탑,서울특별시 종로구 종로2가동 38 탑골공원 내,서울특별시,종로구,사직동,126.9842159,37.571359
문화재유산|문화재구분|가옥,서울 원서동 고희동 가옥,서울특별시 종로구 원서동 16,서울특별시,종로구,가회동,126.9889583,37.5831391
문화재유산|문화재구분|사당,서울 육상궁,서울특별시 종로구 궁정동 1-1,서울특별시,종로구,청운효자동,126.9735214,37.5855189
문화재유산|문화재구분|가옥,서울 이화장,서울특별시 종로구 이화동 1번지 등,서울특별시,종로구,이화동,127.0064395,37.5783498
문화재유산|문화재구분|종교문화재,서울 장의사지 당간지주,종로구 신영동 218-9,서울특별시,종로구,부암동,126.9611862,37.6026161
문화재유산,서울 지장암 목조비로자나불좌상,창신동 626-3,서울특별시,종로구,창신2동,127.0087852,37.5776552
문화재유산|문화재구분,서울 청계천 유적[광통교지수표교지오간수문지],관철동 일반 270-1,서울특별시,종로구,종로1.2.3.4가동,126.985973,37.5691073
문화재유산,서울 탑골공원,종로2가 38-1,서울특별시,종로구,종로1.2.3.4가동,126.988348,37.571206
문화재유산|문화재구분|가옥,서울 평창동 박종화 가옥,서울특별시 종로구 평창동 128-1,서울특별시,종로구,평창동,126.9673329,37.6122517
문화재유산|문화재구분|도성,서울 한양도성,서울특별시 종로구 누상동 산1-3외,서울특별시,종로구,청운효자동,126.9659005,37.5815283
문화재유산|문화재구분|가옥,서울 홍지동 이광수 별장 터,서울특별시 종로구 홍지동 40,서울특별시,종로구,부암동,126.9560406,37.6002694
문화재유산|문화재구분|가옥,서울 홍파동 홍난파 가옥,서울특별시 종로구 홍파동 2-16,서울특별시,종로구,교남동,126.9651141,37.5716567
문화재유산|문화재구분|도성,서울 흥인지문,서울특별시 종로구 종로6가 69,서울특별시,종로구,종로5.6가동,127.0097033,37.5711486
문화재유산|문화재구분|문묘,서울문묘<대성전명륜당동무서무삼문>,서울특별시 종로구 명륜동3가 53,서울특별시,종로구,삼청동,126.9957415,37.5858106
문화재유산|문화재구분|조형물,서울중심점(中心点) 표지돌,서울특별시 종로구 인사동 일반 194-4,서울특별시,종로구,종로1.2.3.4가동,126.986,37.5717
문화재유산|문화재구분|조형물,서울홍제동오층석탑,서울특별시 종로구 세종로 1 경복궁,서울특별시,종로구,청운효자동,126.9767743,37.5866061
문화재유산,석불좌상,서울특별시 종로구 세종로 1 ,서울특별시,종로구,청운효자동,126.9767743,37.5866061
문화재유산|문화재구분|조형물,석양루터(夕陽樓址),서울특별시 종로구 이화동 149-1번지,서울특별시,종로구,이화동,127.0042691,37.5769839
문화재유산|문화재구분|종교문화재,석조여래좌상,서울특별시 종로구 세종로 1,서울특별시,종로구,청운효자동,126.9767743,37.5866061
문화재유산|문화재구분|누정,석파정,서울특별시 종로구 부암동 산16-1,서울특별시,종로구,부암동,126.9738314,37.5961355
문화재유산|문화재구분|누정,석파정 별당,서울특별시 종로구 홍지동 125,서울특별시,종로구,부암동,126.9586308,37.5992338
문화재유산|문화재구분|조형물,선공감(繕工監) 터,서울특별시 종로구 신문로1가 일반 186,서울특별시,종로구,사직동,126.9761849,37.5704858
문화재유산|문화재구분|조형물,선바위,서울특별시 종로구 무악동 산3-4,서울특별시,종로구,무악동,126.956449,37.5793566
문화재유산|문화재구분|조형물,선창터,서울특별시 종로구 종로3가 23-1번지,서울특별시,종로구,종로1.2.3.4가동,126.9919031,37.5707132
문화재유산|문화재구분|사당,선희궁 터,서울특별시 종로구 신교동 산1-1,서울특별시,종로구,청운효자동,126.9685889,37.5850472
문화재유산|문화재구분|조형물,성삼문선생살던곳,서울특별시 종로구 화동 23번지,서울특별시,종로구,삼청동,126.9821397,37.5816563
문화재유산|문화재구분|누정,세검정 터,서울특별시 종로구 신영동 168-6,서울특별시,종로구,부암동,126.9602738,37.6008165
문화재유산|문화재구분|조형물,세검정차일암(洗劍亭遮日巖),서울특별시 종로구 신영동 172-4번지,서울특별시,종로구,부암동,126.9605171,37.6009603
문화재유산|문화재구분|조형물,세종대왕나신곳,서울특별시 종로구 통인동 일반 119번지,서울특별시,종로구,청운효자동,126.9701873,37.5801426
문화재유산|문화재구분|조형물,세창서관터(世昌書館址),서울특별시 종로구 종로3가 18번지,서울특별시,종로구,종로1.2.3.4가동,126.9915496,37.5706809
문화재유산|문화재구분|조형물,소격서터(昭格署址),서울특별시 종로구 소격동 1-1번지,서울특별시,종로구,삼청동,126.9811382,37.5814132
문화재유산|문화재구분|종교문화재,소림사,서울특별시 종로구 홍지동 80-1번지,서울특별시,종로구,부암동,126.9588964,37.6014902
문화재유산|문화재구분|도성,소의문,서울특별시 중구 순화동,서울특별시,중구,소공동,126.970438,37.562758
문화재유산|문화재구분|조형물,손병희선생집터,서울특별시 종로구 가회동 170-4번지,서울특별시,종로구,가회동,126.9847684,37.5803381
문화재유산|문화재구분|조형물,송시렬(宋時烈)선생 집터,서울특별시 종로구 혜화동 일반1-8번지,서울특별시,종로구,혜화동,127.0005764,37.5869186
문화재유산|문화재구분|조형물,송학선(宋學善) 의사의거터,서울특별시 종로구 와룡동 4-1번지,서울특별시,종로구,종로1.2.3.4가동,126.9894942,37.5777794
문화재유산|문화재구분|조형물,수진궁터(壽進宮址),서울특별시 종로구 수송동 51-8번지,서울특별시,종로구,종로1.2.3.4가동,126.9810035,37.5726695
문화재유산|문화재구분|조형물,수표교터(水標橋址),서울특별시 종로구 관수동 152-1번지,서울특별시,종로구,종로1.2.3.4가동,126.9893086,37.5684728
문화재유산|문화재구분|도성,숙정문,서울특별시 종로구 삼청동 산2-1,서울특별시,종로구,삼청동,126.9808095,37.5885407
문화재유산|문화재구분|조형물,순화궁(順和宮) 터,서울특별시 종로구 인사동 일반 194-27,서울특별시,종로구,종로1.2.3.4가동,126.986,37.5717
문화재유산|문화재구분|도성,숭례문,서울특별시 중구 남대문로4가 29,서울특별시,중구,소공동,126.975324,37.5599933
문화재유산|문화재구분|문묘,숭보사,서울특별시 종로구 명륜동 3가 15-3,서울특별시,종로구,혜화동,126.9963338,37.5865853
문화재유산|문화재구분|종교문화재,승가사,서울특별시 종로구 구기동 산1번지,서울특별시,종로구,평창동,126.9740093,37.6314807
문화재유산|문화재구분|조형물,승동교회,서울특별시 종로구 인사동 137번지,서울특별시,종로구,종로1.2.3.4가동,126.9861167,37.5715664
문화재유산|문화재구분|조형물,승문원(承文院) 터,서울특별시 종로구 계동 일반 140-2번지,서울특별시,종로구,가회동,126.987,37.5804
문화재유산|문화재구분|예술가의집,시인 윤동주가 하숙하던 집,종로구 누상동 9번지,서울특별시,종로구,청운효자동,126.9656793,37.5814513
문화재유산|문화재구분|조형물,신사임당 동상,서울특별시 종로구 사직동 1-48  사직공원 내,서울특별시,종로구,사직동,126.9655759,37.572297
문화재유산|문화재구분|조형물,쌍홍문(雙紅門) 터,서울특별시 종로구 효자동 일반 38-2번지,서울특별시,종로구,청운효자동,126.9719206,37.5826487
문화재유산|문화재구분|가옥,안국동 윤보선가,서울특별시 종로구 안국동 8-1,서울특별시,종로구,삼청동,126.9837587,37.5790018
문화재유산|문화재구분|조형물,안동별궁(安洞別宮) 터,서울특별시 종로구 안국동 일반 175-2번지,서울특별시,종로구,삼청동,126.9828999,37.5773
문화재유산|문화재구분|종교문화재,안양암,서울특별시 종로구 창신동 130-1,서울특별시,종로구,창신1동,127.0133571,37.5754539
문화재유산|문화재구분|누정,안평대군 이용 집터,서울특별시 종로구 부암동 319-4,서울특별시,종로구,부암동,126.9628406,37.5916177
문화재유산|문화재구분|조형물,앙부일구(해시계)터(仰釜日咎址),서울특별시 종로구 훈정동 2번지,서울특별시,종로구,종로1.2.3.4가동,126.9954564,37.5713843
문화재유산|문화재구분|조형물,야주개터(夜珠峴址),서울특별시 종로구 신문로1가 23번지,서울특별시,종로구,사직동,126.974814,37.570423
문화재유산|문화재구분|조형물,양현고(養賢庫) 터,서울특별시 종로구 명륜3가 2-1번지,서울특별시,종로구,혜화동,126.9965038,37.5876981
문화재유산|문화재구분|조형물,어영청(御營廳) 터,서울특별시 종로구 인의동 112-1번지,서울특별시,종로구,종로1.2.3.4가동,126.9971783,37.5728094
문화재유산|문화재구분|조형물,어유구집터(魚有龜家址),서울특별시 종로구 명륜2가 21-26,서울특별시,종로구,혜화동,127.0003237,37.5841909
문화재유산|문화재구분|조형물,어의궁터(於義宮址),서울특별시 종로구 효제동 22-3번지,서울특별시,종로구,종로5.6가동,127.0018918,37.574964
문화재유산|문화재구분|조형물,여단(濾壇) 터,서울특별시 종로구 평창동 113-1번지,서울특별시,종로구,평창동,126.9770283,37.6110973
문화재유산|문화재구분|조형물,여운형집(呂運亨家) 터,서울특별시 종로구 계동 일반 140-16,서울특별시,종로구,가회동,126.987,37.5804
문화재유산|문화재구분|조형물,여인시장터(女人市場址),서울특별시 종로구 숭인동 242-1번지,서울특별시,종로구,숭인2동,127.0176267,37.571855
문화재유산|문화재구분|조형물,염상섭선생동상,서울특별시 종로구 훈정동 90번지 종묘시민공원,서울특별시,종로구,종로1.2.3.4가동,126.977675,37.570053
문화재유산|문화재구분|조형물,예조(禮曹) 터,서울특별시 종로구 세종로동 일반 77-6번지,서울특별시,종로구,사직동,126.979642,37.573033
문화재유산|문화재구분|조형물,오간수문(五間水門) 터,서울특별시 종로구 종로6가동 289-3,서울특별시,종로구,종로1.2.3.4가동,126.9838679,37.570451
문화재유산|문화재구분|누정,오운정,서울특별시 종로구 세종로 1,서울특별시,종로구,청운효자동,126.9767743,37.5866061
문화재유산|문화재구분|궁궐,오운정,서울특별시 종로구 세종로 1,서울특별시,종로구,청운효자동,126.9767743,37.5866061
문화재유산|문화재구분|가옥,옥인동 박노수 가옥,서울특별시 종로구 옥인동 168-2,서울특별시,종로구,청운효자동,126.9667572,37.5813721
